CRD,Firm Name,Website,Email,Email Type,Score,Source
104942,"CAMBRIDGE ASSOCIATES","https://cambridgeassociates.com/","ContactCA@cambridgeassociates.com",individual,300,/
104942,"CAMBRIDGE ASSOCIATES","https://cambridgeassociates.com/","HumanCapital@cambridgeassociates.com",individual,200,/contact
104942,"CAMBRIDGE ASSOCIATES","https://cambridgeassociates.com/","PrivateBenchmarks@cambridgeassociates.com",individual,150,/
110601,"MEKETA INVESTMENT GROUP INC","https://meketa.com/","marketing@meketa.com",individual,150,/contact
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","bwrubel@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","lpayne@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","mzarate@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","jwesner@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","kobed@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","tsalemy@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","dsmith@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","aoconnor@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","tburdick@marquetteassociates.com",individual,200,/
21572,"MARQUETTE ASSOCIATES","https://marquetteassociates.com/","gleonberger@marquetteassociates.com",individual,200,/
289276,"THE RUDD COMPANY, LLC","https://ruddco.com/","info@ruddco.com",generic,300,/
289276,"THE RUDD COMPANY, LLC","https://ruddco.com/","awainwright@ruddco.com",individual,200,/contact.html
128199,"STRATEGIC FAMILY WEALTH COUNSELORS, L.L.C.","https://strategicfamilywealth.com/","info@strategicfamilywealth.com",generic,350,/
132058,"CRANBROOK WEALTH MANAGEMENT, LLC","https://cranbrookwealth.com/","rb@cranbrookwealth.com",individual,250,/
132058,"CRANBROOK WEALTH MANAGEMENT, LLC","https://cranbrookwealth.com/","lr@cranbrookwealth.com",individual,250,/contact
164081,"AXXCESS WEALTH MANAGEMENT, LLC","https://axxcesswealth.com/","admin@axxcesswealth.com",individual,200,/
117442,"FINANCIAL MGMT ADV.","http://www.financialmanagementadvisors.com/","jimmy@financialmanagementadvisors.com",individual,250,/
306548,"PALUMBO WEALTH MANAGEMENT LLC","https://palumbowm.com/","info@dev.palumbowm.com",generic,200,/contact
285633,"URBAN WEALTH MANAGEMENT GROUP LLC","https://urbanwm.com/","info@urbanwm.com",generic,300,/
125838,"HIGHLAND FINANCIAL","https://www.highlandplanning.com/","info@highlandplanning.com",generic,300,/contact
173352,"GENERATIONS WEALTH","https://www.generationswealth.com/","info@generationswealth.com",generic,350,/contact
323605,"MEKETA FIDUCIARY MANAGEMENT, LLC","https://meketa.com/","marketing@meketa.com",individual,150,/contact
148586,"STRATEGIC WEALTH PARTNERS","https://swpconnect.com/","info@swpconnect.com",generic,300,/contact
311980,"CONFLUENCE WEALTH SERVICES, INC.","https://confluencews.com/","mroberts@confluencews.com",individual,200,/
133040,"ACORN ADVISORY CAPITAL, L.P.","https://acorn-advisory.com/","hnolan@acorn-advisory.com",individual,250,/
110532,"SILVEROAK WEALTH MANAGEMENT LLC","https://silveroakwealth.com/","info@silveroakwealth.com",generic,350,/
158722,"SEVEN BRIDGES ADVISORS LLC","https://sevenbridgesadvisors.com/","contact@sevenbridgesadvisors.com",generic,350,/
170909,"OMNIA FAMILY WEALTH","https://omniawealth.com/","Info@OmniaWealth.com",generic,350,/contact
146720,"ASPIRIANT, LLC","https://aspiriant.com/","info@aspiriant.com",generic,300,/contact
146720,"ASPIRIANT, LLC","https://aspiriant.com/","manager.research@aspiriant.com",individual,200,/contact
298984,"WEALTHFACE LLC","https://wealthface.com/","support@wealthface.com",generic,300,/
152802,"BALLENTINE PARTNERS","https://ballentinepartners.com/","investments@ballentinepartners.com",individual,350,/contact
152802,"BALLENTINE PARTNERS","https://ballentinepartners.com/","hello@ballentinepartners.com",generic,350,/contact
293175,"ARKFELD WEALTH STRATEGIES, L.L.C.","https://arkfeldwealth.com/","info@arkfeldwealth.com",generic,350,/
149694,"LEAFHOUSE FINANCIAL ADVISORS, LLC","https://leafhouse.com/","sales@leafhouse.com",generic,300,/
310327,"PALLAS CAPITAL ADVISORS","https://pallascapitaladvisors.com/","christie@pallascapitaladvisors.com",individual,250,/
310327,"PALLAS CAPITAL ADVISORS","https://pallascapitaladvisors.com/","pallas@pallascapitaladvisors.com",individual,250,/contact
157714,"ALEXANDER CAPITAL WM","https://alexandercapitalwealthmanagement.com/","info@alexandercapitalwealthmanagement.com",generic,350,/contact
297892,"HASSELL WEALTH MANAGEMENT, L.L.C.","https://hassellwealth.com/","info@hassellwealth.com",generic,350,/
292016,"GARRISON POINT ADVISORS","https://www.garpc.com/","info@garpc.com",generic,300,/contact
317528,"CITRIN COOPERMAN WEALTH MANAGEMENT, LLC","https://www.citrincooperman.com/services/wealth-management","ldutkiewicz@citrincooperman.com",individual,200,/about-us
152242,"CLEAR HARBOR ASSET MANAGEMENT, LLC","https://clearharboram.com/","info@clearharboram.com",generic,300,/
297213,"COLTER LEWIS INVESTMENT PARTNERS LLC","https://colterlewis.com/","info@colterlewis.com",generic,300,/
124128,"GIBRALTAR WEALTH MANAGEMENT, LLC","https://gibraltarwealth.com/","info@gibraltarwealth.com",generic,350,/
299052,"HOWARD WEALTH MANAGEMENT, LLC","https://howardwealth.com/","info@howardwealth.com",generic,350,/
