Organization CRD#,SEC#,Primary Business Name,Legal Name,Website Address,Main Office State,Main Office City,5B(1),5B(2),5B(3),5B(4),5B(5),5B(6),5D(a)(1),5D(a)(3),SEC Current Status,Latest ADV Filing Date
79,801-3702,J.P. MORGAN SECURITIES LLC,J.P. MORGAN SECURITIES LLC,http://www.jpmorgansecurities.com,NY,NEW YORK,8097,8135,8097,0,6603,11,780713,"123,567,717,706.00",Approved,02/12/2026
199,801-45761,D.A. DAVIDSON & CO.,D.A. DAVIDSON & CO.,https://www.facebook.com/DADavidsonCo,MT,GREAT FALLS,410,710,650,0,350,3,49912,"14,015,605,013.00",Approved,01/16/2026
249,801-887,OPPENHEIMER & CO. INC.,OPPENHEIMER & CO. INC.,HTTP://WWW.OPPENHEIMER.COM,NY,NEW YORK,1295,1812,1167,5,700,238,34604,"15,141,675,829.00",Approved,01/05/2026
463,801-7258,JANNEY MONTGOMERY SCOTT LLC,JANNEY MONTGOMERY SCOTT LLC,HTTPS://WWW.FACEBOOK.COM/JANNEYMONTGOMERYSCOTT,PA,PHILADELPHIA,1208,1746,1290,0,1043,16,144342,"20,992,409,870.00",Approved,01/12/2026
1252,801-688,WILLIAM BLAIR & COMPANY L.L.C.,WILLIAM BLAIR & COMPANY L.L.C.,https://twitter.com/williamblair,IL,CHICAGO,201,415,265,0,51,4,25794,"10,477,324,955.00",Approved,02/09/2026
1588,801-13057,DAVENPORT & COMPANY LLC,DAVENPORT & COMPANY LLC,HTTPS://X.COM/INVESTDAVENPORT,VA,RICHMOND,216,366,327,0,213,1,10627,"3,605,156,054.00",Approved,02/24/2026
3496,801-15510,STEPHENS,STEPHENS INC.,HTTP://STEPHENS.LIBSYN.COM/,AR,LITTLE ROCK,246,623,244,0,130,0,18158,"4,053,452,865.00",Approved,12/16/2025
3767,801-37145,&PARTNERS,&PARTNERS,https://WWW.ANDPARTNERS.COM,TN,NASHVILLE,272,322,272,2,155,0,22670,"5,357,320,409.00",Approved,12/15/2025
6413,801-10970,LPL FINANCIAL LLC,LPL FINANCIAL LLC,https://www.instagram.com/lpl_financial/,SC,FORT MILL,28347,28977,19576,6177,24733,1442,1113911,"188,787,186,982.00",Approved,02/18/2026
7059,801-3387,CITIGROUP GLOBAL MARKETS INC.,CITIGROUP GLOBAL MARKETS INC.,HTTP://WWW.CITI.COM/INVESTORINFO/ADVISORYPRIVACY/,NY,NEW YORK,4267,4944,2296,0,882,1,34219,"8,845,991,360.00",Approved,01/09/2026
8158,801-7571,ROBERT W. BAIRD & CO. INCORPORATED,ROBERT W. BAIRD & CO. INCORPORATED,https://www.linkedin.com/company/robert-w-baird-&-co/,WI,MILWAUKEE,3047,3384,2438,0,1553,27,152341,"33,244,623,810.00",Approved,12/15/2025
8174,801-7163,UBS FINANCIAL SERVICES INC.,UBS FINANCIAL SERVICES INC.,https://www.linkedin.com/in/jason-chandler-aa26186/,NJ,WEEHAWKEN,9944,11221,9944,0,5983,147,269832,"49,349,673,286.00",Approved,01/16/2026
10111,801-72263,PRIMERICA ADVISORS,PFS INVESTMENTS INC.,https://www.youtube.com/user/primerica,GA,DULUTH,3732,3750,3608,0,3689,0,52919,"9,160,436,416.00",Approved,02/03/2026
11869,801-39177,PLANMEMBER SECURITIES CORPORATION,PLANMEMBER SECURITIES CORPORATION,HTTP://WWW.PLANMEMBER.COM,CA,CARPINTERIA,432,428,428,10,428,291,68120,"7,041,198,000.00",Approved,03/31/2025
