table_name,column_name,visibility,notes
firm_logos,crd,Public,
firm_logos,logo_key,Public,
firm_logos,has_logo,Public,
firm_logos,updated_at,Public,
firmdata_aum_segment_stats,aum_segment,Public,
firmdata_aum_segment_stats,firm_count,Private,
firmdata_aum_segment_stats,avg_current_aum_millions,Private,
firmdata_aum_segment_stats,median_current_aum_millions,Private,
firmdata_aum_segment_stats,avg_aum_1y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_aum_1y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_employees_1y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_employees_1y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_clients_1y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_clients_1y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_aum_1y_growth_annualized,Private,
firmdata_aum_segment_stats,median_aum_1y_growth_annualized,Private,
firmdata_aum_segment_stats,avg_aum_5y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_aum_5y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_employees_5y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_employees_5y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_clients_5y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_clients_5y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_aum_5y_growth_annualized,Private,
firmdata_aum_segment_stats,median_aum_5y_growth_annualized,Private,
firmdata_aum_segment_stats,avg_aum_10y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_aum_10y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_employees_10y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_employees_10y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_clients_10y_growth_cumulative,Private,
firmdata_aum_segment_stats,median_clients_10y_growth_cumulative,Private,
firmdata_aum_segment_stats,avg_aum_10y_growth_annualized,Private,
firmdata_aum_segment_stats,median_aum_10y_growth_annualized,Private,
firmdata_aum_segment_stats,1y_data_pct,Private,
firmdata_aum_segment_stats,5y_data_pct,Private,
firmdata_aum_segment_stats,10y_data_pct,Private,
firmdata_current,crd,Public,
firmdata_current,filingid,,
firmdata_current,sec_number,Public,
firmdata_current,primary_business_name,Public,
