crd,display_name,best_brand_candidate,manual_review
265,EQUITY SERVICES,"Equity Services, Inc.",Y
713,RICHARDS MERRIL WEALTH MANAGEMENT,Home | Richards Merrill,Y
1329,"SMITH, BROWN & GROOVER",SBG Wealth Management for Middle Georgia,Y
1489,RELEVANT WEALTH ADVISORS,Relevant Wealth,Y
2748,MEANS INVESTMENT CO.,Means Wealth Management,Y
2882,VOYA FINANCIAL ADVISORS,Introducing Voya Active ETFs,Y
3618,TRUBEE WEALTH ADVISORS,TruBee.com,Y
8032,COMMONWEALTH (EQUITY SERVICES),Commonwealth Financial Network,Y
15898,FSB PREMIER WEALTH MANAGEMENT,FSB Premier Wealth Management,Y
16164,TRANSAMERICA FINANCIAL ADVISORS,"Transamerica Financial Advisors, LLC",Y
16986,HUNTINGTON PRIVATE BANK,,Y
17530,BOK FINANCIAL,BOK Financial,Y
21572,MARQUETTE ASSOCIATES,Marquette Associates,Y
23131,OSAIC,Empowering Wealth | Osaic,Y
25536,AMERICAN WEALTH MANAGEMENT,"American Wealth Management, Inc.",Y
38357,CLIFTONLARSONALLEN WEALTH ADVISORS,Wealth Advisory Overview: CLA (CliftonLarsonAllen),Y
39326,BNA WEALTH,BNA CPA,Y
42057,ARVEST INVESTMENTS,,Y
104621,JOHNSON FINANCIAL,"Home | Johnson Financial, LLC",Y
104623,AVITY INVESTMENT MANAGEMENT,Avity Investment Management,Y
104643,CAPITAL ADVISORS,Capital Advisors,Y
104692,FERGUSON WELLMAN CAPITAL MANAGEMENT,"At Ferguson Wellman,",Y
104711,TOBIAS FINANCIAL ADVISORS,Tobias Financial Advisors,Y
104804,CLARITI WEALTH,Send us a Message,Y
104920,CONDOR CAPITAL MANAGEMENT,Condor Capital Wealth Management,Y
104926,MODERN PORTFOLIO MANAGEMENT,"Modern Portfolio Real Estate Services – Relationship-centered, Client-first Real Estate brokerage, that takes pride in their integrity, ethics, and reputation.",Y
104942,CAMBRIDGE ASSOCIATES,Cambridge Associates,Y
104952,TOTH FINANCIAL,Toth Financial,Y
104961,LEFAVI WEALTH MANAGEMENT,Lefavi Wealth Management,Y
105012,WINGATE WEALTH ADVISORS,Wingate Wealth Advisors,Y
105022,INTRINSIC WEALTH COUNSEL,Intrinsic Wealth Counsel,Y
105031,FIRST FINANCIAL,First Financial,Y
105039,HARTFORD FINANCIAL MANAGEMENT (HFM),Financial Planning & Wealth Management Services | HFM,Y
105062,TFC FINANCIAL,Home | TFC Financial,Y
105211,BURT WEALTH ADVISORS,Burt Wealth Advisors,Y
105336,O'BRIEN WEALTH PARTNERS,O'Brien Wealth Partners,Y
105343,BALDWIN WEALTH PARTNERS,,Y
105348,CREATIVE PLANNING,Creative Planning,Y
105433,ALPINE WEALTH ADVISORS,"Alpine Wealth Management, LLC",Y
105439,ACCREDITED INVESTORS,Accredited New 2023,Y
105472,FINANCIAL ADVISORY CORPORATION,,Y
105524,EADS & HEALD WEALTH,Eads & Heald Wealth Management,Y
105638,BRIAUD FINANCIAL ADVISORS,Briaud Financial Advisors,Y
105643,FINANCIAL SYNERGIES WEALTH ADVISORS,Financial Synergies Wealth Advisors logo,Y
105650,GODSEY & GIBB,Godsey & Gibb Wealth Management,Y
105710,SHEETS SMITH WEALTH MANAGEMENT,Home - Sheets Smith,Y
