crd,website_input,website_final,http_status,display_name,adv_official_name,display_vs_adv_similarity,best_brand_candidate,best_brand_source,brand_match_to_display,brand_match_to_adv,best_legal_candidate,legal_match_to_adv,score,status,evidence_json
265,https://equity-services.com/,https://www.equity-services.com/,200.0,EQUITY SERVICES,,0,"Equity Services, Inc.",og_site_name,88,0,,0,45,Needs Review,"{""candidates"": {""title"": [""ESI | Equity Services, Inc. | ESI Broker-Dealer & RIA""], ""og_site_name"": [""Equity Services, Inc.""], ""og_title"": [""ESI | Equity Services, Inc. | ESI Broker-Dealer & RIA""], ""h1"": [], ""h2"": [""Your Business. Your Vision."", ""ESI is THE relationship-based firm. We deeply care about the success of our financial professionals. Their success is our success."", ""Advisor Focused""], ""logo_alt"": [""Broker Check"", ""Equity Services, Inc. Home""], ""footer_text_snippet"": [""Contact Office: 800-344-7437 One National Life Drive Montpelier, VT 05604 joinESI@nationallife.com Quick Links Latest Articles All Videos All Calculators Check the background of your financial professional on FINRA's BrokerCheck . The conte""], ""jsonld_org_name"": [""Equity Services, Inc.""], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Equity Services, Inc."", ""source"": ""og_site_name"", ""match_to_display"": 88, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
713,https://rmwealthmgmt.com/,https://rmwealthmgmt.com/,200.0,RICHARDS MERRIL WEALTH MANAGEMENT,,0,Home | Richards Merrill,title,66,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Home | Richards Merrill""], ""og_site_name"": [], ""og_title"": [], ""h1"": [""We’re invested in your life.""], ""h2"": [""Planning for a secured future."", ""Celebrating 100 years of exceptional wealth management services."", ""1924""], ""logo_alt"": [], ""footer_text_snippet"": ["" 612 West Main, Suite 201 | Spokane, WA 99201  (509) 624 3174 BrokerCheck™ Form CRS – Customer Relationship Summary Regulation Best Interest Disclosures Municipal Securities Rulemaking Board MSRB Investor Brochure Order Routing Informatio""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Home | Richards Merrill"", ""source"": ""title"", ""match_to_display"": 66, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
1329,https://smithbrownandgroover.com/,https://smithbrownandgroover.com/,200.0,"SMITH, BROWN & GROOVER",,0,SBG Wealth Management for Middle Georgia,og_site_name,33,0,,0,0,Needs Review,"{""candidates"": {""title"": [""SBG Wealth Management for Middle Georgia – One good investment can be worth a lifetime of hard work.""], ""og_site_name"": [""SBG Wealth Management for Middle Georgia""], ""og_title"": [""Homepage""], ""h1"": [], ""h2"": [], ""logo_alt"": [""SBG Wealth Management for Middle Georgia""], ""footer_text_snippet"": [""Copyright SBG Wealth | All Rights Reserved | 478-474-7004 | 4001 Vineville Avenue Macon, GA 31210 | Powered by Integrateideas | FINRA Member FIRM""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""SBG Wealth Management for Middle Georgia"", ""source"": ""og_site_name"", ""match_to_display"": 33, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
1489,https://relevantwealth.com/,https://relevantwealth.com/,200.0,RELEVANT WEALTH ADVISORS,,0,Relevant Wealth,og_site_name,76,0,,0,20,Needs Review,"{""candidates"": {""title"": [""Home""], ""og_site_name"": [""Relevant Wealth""], ""og_title"": [""Home""], ""h1"": [""Imagine something even better...""], ""h2"": [""Don't Just Take Our Word For It""], ""logo_alt"": [], ""footer_text_snippet"": [""2 Belvedere Place, Suite 200 Mill Valley, CA 94941 Phone: 415.925.4000 Our Community SEC CRS Privacy Notice The Weekly Breeze Join our community and receive our weekly newsletter. View a sample.""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Relevant Wealth"", ""source"": ""og_site_name"", ""match_to_display"": 76, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
2748,https://meanswealth.com/,https://www.meanswealth.com/,200.0,MEANS INVESTMENT CO.,,0,Means Wealth Management,logo_alt,57,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Investing, Wealth Management, Estate Planning | Maine & South Carolina""], ""og_site_name"": [], ""og_title"": [], ""h1"": [""Guided by experience. Invested in you.""], ""h2"": [""Areas of Practice What We Do"", ""Our Story Who We Are"", ""Meet Our Team Who You'll Work With""], ""logo_alt"": [""Means Wealth Management""], ""footer_text_snippet"": [], ""jsonld_org_name"": [""Means Wealth Management""], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Means Wealth Management"", ""source"": ""logo_alt"", ""match_to_display"": 57, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
2882,https://advisors.voya.com/,https://advisors.voya.com/,200.0,VOYA FINANCIAL ADVISORS,,0,Introducing Voya Active ETFs,h1,50,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Financial Advisor Home - Access Key Insights and Solutions | Voya Investment Management""], ""og_site_name"": [], ""og_title"": [], ""h1"": [""Home Pages"", ""Introducing Voya Active ETFs""], ""h2"": [""Beyond Paper Marks: How Liquidity Events Drive Durable Returns"", ""Find a Product"", ""Featured Products""], ""logo_alt"": [""Home""], ""footer_text_snippet"": [""Navigation Products & Solutions Resources Insights Defined Contribution Our Company About Us Careers Contact Us News Voya.com Legal and Compliance Continuity Management Disclosure Email Unsubscribe Privacy Notice Your Privacy Choices Terms""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Introducing Voya Active ETFs"", ""source"": ""h1"", ""match_to_display"": 50, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
3618,https://trubee.com/wealth-management/,https://www.hugedomains.com/domain_profile.cfm?d=trubee.com,200.0,TRUBEE WEALTH ADVISORS,,0,TruBee.com,h1,50,0,,0,0,Needs Review,"{""candidates"": {""title"": [""TruBee.com is for sale | HugeDomains""], ""og_site_name"": [""HugeDomains""], ""og_title"": [""TruBee.com is for sale | HugeDomains""], ""h1"": [""TruBee.com""], ""h2"": [""Since 2005, we've helped thousands of people get the perfect domain name"", ""Customer success stories"", ""Our promise to you""], ""logo_alt"": [""logo""], ""footer_text_snippet"": [""Shop Home Categories Payment plans My account Safe and secure Money back guarantee Escrow.com NameBright.com Testimonials Helpful Tips Buying guide Case studies FAQs About us Overview Contact us Terms and conditions Privacy policy Talk to a""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""TruBee.com"", ""source"": ""h1"", ""match_to_display"": 50, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
8032,https://commonwealth.com/,https://www.commonwealth.com/,200.0,COMMONWEALTH EQUITY SERVICES,,0,Commonwealth Financial Network,og_site_name,58,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Commonwealth Financial Network® | Top RIA–Independent Broker/Dealer.""], ""og_site_name"": [""Commonwealth Financial Network""], ""og_title"": [""Commonwealth Financial Network® | Top RIA–Independent Broker/Dealer.""], ""h1"": [""Welcome to the power of partnership."", ""An advisor-centric approach to fuel your success"", ""Be the advisor you want to be""], ""h2"": [""Tailored Business Strategies"", ""Advanced Planning & Research"", ""Complete Marketing Support""], ""logo_alt"": [], ""footer_text_snippet"": [""Commonwealth Logo Your Advantage Evolve Your Business Accelerate Your Growth Streamline Your Operations Transition Your Way Advisor Solutions Affiliation Flexibility Tailored Business Strategies Advanced Planning & Research Complete Marketi""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Commonwealth Financial Network"", ""source"": ""og_site_name"", ""match_to_display"": 58, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
15898,https://fsbfs.com/,https://fsbfs.com/,200.0,FSB PREMIER WEALTH MANAGEMENT,,0,FSB Premier Wealth Management,h1,100,0,,0,50,Likely,"{""candidates"": {""title"": [""Waterloo, IA | Financial Advisor — Investment Advisor, Broker-Dealer, Insurance | FSB Premier""], ""og_site_name"": [""Investment Advisor, Broker-Dealer, Insurance | FSB Premier""], ""og_title"": [""Waterloo, IA | Financial Advisor""], ""h1"": [""FSB Premier Wealth Management"", ""Invest In Your Future"", ""Let Us Help""], ""h2"": [""Providing Client Focused Financial Planning Services for the Cedar Valley and Beyond""], ""logo_alt"": [""Logo for Investment Advisor, Broker-Dealer, Insurance | FSB Premier""], ""footer_text_snippet"": [""FSB Premier Wealth Management As a broker dealer, FSB Premier Wealth Management is a member of FINRA and SIPC . FSB Premier Wealth Management, Inc. is an investment adviser registered with the SEC under the Investment Advisers Act of 1940,""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""FSB Premier Wealth Management"", ""source"": ""h1"", ""match_to_display"": 100, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
16164,https://tfaconnect.com/,https://www.tfaconnect.com/,200.0,TRANSAMERICA FINANCIAL ADVISORS,,0,"Transamerica Financial Advisors, LLC",og_site_name,93,0,,0,50,Likely,"{""candidates"": {""title"": [""Transamerica Financial Advisors, LLC. | Transamerica Financial Advisors, LLC""], ""og_site_name"": [""Transamerica Financial Advisors, LLC""], ""og_title"": [""TFAC - Home""], ""h1"": [""Live well. Build your future.""], ""h2"": [""Don't Leave Anything to Chance. Start Taking Action Now."", ""Become a TFA Representative"", ""(TFA Connect) Legal""], ""logo_alt"": [""Home""], ""footer_text_snippet"": [""Transamerica Financial Advisors, LLC is a full-service, fully licensed, independent broker-dealer and Registered Investment Advisor with thousands of representatives across the United States who offer products and services from more than 10""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Transamerica Financial Advisors, LLC"", ""source"": ""og_site_name"", ""match_to_display"": 93, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
