crd,primary_business_name,website,display_name,alt_name1,alt_name2,alt_name3,name_source,created_at,updated_at
265,"EQUITY SERVICES, INC.",https://equity-services.com/,EQUITY SERVICES,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
713,"RICHARDS, MERRILL & PETERSON, INC.",https://rmwealthmgmt.com/,RICHARDS MERRIL WEALTH MANAGEMENT,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
1329,"SMITH, BROWN & GROOVER, INC.",https://smithbrownandgroover.com/,"SMITH, BROWN & GROOVER",,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
1489,"RELEVANT WEALTH ADVISORS, LLC",https://relevantwealth.com/,RELEVANT WEALTH ADVISORS,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
2748,"MEANS INVESTMENT CO., INC.",https://meanswealth.com/,MEANS INVESTMENT CO.,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
2882,"VOYA FINANCIAL ADVISORS, INC.",https://advisors.voya.com/,VOYA FINANCIAL ADVISORS,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
3618,"TRUBEE WEALTH ADVISORS, INC.",https://trubee.com/wealth-management/,TRUBEE WEALTH ADVISORS,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
8032,"COMMONWEALTH EQUITY SERVICES, LLC",https://commonwealth.com/,COMMONWEALTH EQUITY SERVICES,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
15898,"FSB PREMIER WEALTH MANAGEMENT, INC.",https://fsbfs.com/,FSB PREMIER WEALTH MANAGEMENT,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
16164,"TRANSAMERICA FINANCIAL ADVISORS, LLC",https://tfaconnect.com/,TRANSAMERICA FINANCIAL ADVISORS,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
16986,THE HUNTINGTON INVESTMENT COMPANY,https://www.huntington.com/private-bank,THE HUNTINGTON INVESTMENT COMPANY,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
17530,"BOK FINANCIAL SECURITIES, INC.",https://bokfinancial.com/,BOK FINANCIAL SECURITIES,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
21572,"MARQUETTE ASSOCIATES, INC.",https://marquetteassociates.com/,MARQUETTE ASSOCIATES,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
23131,"OSAIC WEALTH, INC.",https://osaic.com/,OSAIC WEALTH,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
25536,"AMERICAN WEALTH MANAGEMENT, INC.",https://americanwealthmanagement.com/,AMERICAN WEALTH MANAGEMENT,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
38357,"CLIFTONLARSONALLEN WEALTH ADVISORS, LLC",https://www.claconnect.com/en/services/wealth-advisory-overview,CLIFTONLARSONALLEN WEALTH ADVISORS,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
39326,"BNA WEALTH, INC.",https://www.bnacpa.com/,BNA WEALTH,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
42057,"ARVEST INVESTMENTS, INC.",https://www.arvest.com/wealth,ARVEST INVESTMENTS,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
104621,"PHILIP O. JOHNSON & COMPANY, LTD.",https://www.meetjohnsonfinancial.com/,PHILIP O. JOHNSON & COMPANY,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
104623,AVITY INVESTMENT MANAGEMENT INC.,https://avityim.com/,AVITY INVESTMENT MANAGEMENT,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
104643,"CAPITAL ADVISORS, INC.",https://capitaladv.com/,CAPITAL ADVISORS,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
104692,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC.",https://fergusonwellman.com/,FERGUSON WELLMAN CAPITAL MANAGEMENT,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
104711,"TOBIAS FINANCIAL ADVISORS, INC.",https://tobiasfinancial.com/,TOBIAS FINANCIAL ADVISORS,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
104804,SCHIAVI & COMPANY LLC,https://www.claritiwealth.com/,SCHIAVI & COMPANY,,,,legal,2026-02-21 17:30:41.411397+00,2026-02-21 17:30:41.411397+00
