crd,primary_business_name,website
265,"EQUITY SERVICES, INC.",https://equity-services.com/
713,"RICHARDS, MERRILL & PETERSON, INC.",https://rmwealthmgmt.com/
1329,"SMITH, BROWN & GROOVER, INC.",https://smithbrownandgroover.com/
1489,"RELEVANT WEALTH ADVISORS, LLC",https://relevantwealth.com/
2748,"MEANS INVESTMENT CO., INC.",https://meanswealth.com/
2882,"VOYA FINANCIAL ADVISORS, INC.",https://advisors.voya.com/
3618,"TRUBEE WEALTH ADVISORS, INC.",https://trubee.com/wealth-management/
8032,"COMMONWEALTH EQUITY SERVICES, LLC",https://commonwealth.com/
15898,"FSB PREMIER WEALTH MANAGEMENT, INC.",https://fsbfs.com/
16164,"TRANSAMERICA FINANCIAL ADVISORS, LLC",https://tfaconnect.com/
16986,HUNTINGTON INVESTMENT,https://www.huntington.com/private-bank
17530,"BOK FINANCIAL SECURITIES, INC.",https://bokfinancial.com/
21572,MARQUETTE ASSOCIATES,https://marquetteassociates.com/
23131,"OSAIC WEALTH, INC.",https://osaic.com/
25536,AMERICAN WEALTH MGMT,https://americanwealthmanagement.com/
38357,CLIFTONLARSONALLEN,https://www.claconnect.com/en/services/wealth-advisory-overview
39326,"BNA WEALTH, INC.",https://www.bnacpa.com/
42057,"ARVEST INVESTMENTS, INC.",https://www.arvest.com/wealth
104621,PHILIP O. JOHNSON,https://www.meetjohnsonfinancial.com/
104623,AVITY INVESTMENT MANAGEMENT INC.,https://avityim.com/
104643,"CAPITAL ADVISORS, INC.",https://capitaladv.com/
104692,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC.",https://fergusonwellman.com/
104711,"TOBIAS FINANCIAL ADVISORS, INC.",https://tobiasfinancial.com/
104804,SCHIAVI & COMPANY LLC,https://www.claritiwealth.com/
104920,CONDOR CAPITAL MANAGEMENT,https://condorcapital.com/
104926,MODERN PORTFOLIO MGMT,https://modernportfolio.com/
104942,CAMBRIDGE ASSOCIATES,https://cambridgeassociates.com/
104952,TOTH FINANCIAL,https://tothfinancial.com/
104961,"LEFAVI WEALTH MANAGEMENT, INC.",https://lefavi.com/
105012,WINGATE WEALTH ADV.,https://wingatewealthadvisors.com/
105022,"INTRINSIC WEALTH COUNSEL, INC.",https://intrinsicwealthcounsel.com/
105031,FIRST FINANCIAL ADVISORY,https://firstfinancial.com/
105039,HARTFORD FIN. MGMT,https://www.hfmonline.com/
105062,"TFC FINANCIAL MANAGEMENT, INC.",https://www.tfcfinancial.com/
105211,"BURT ASSOCIATES, INCORPORATED",https://burtwealth.com/
105336,O'BRIEN WEALTH PARTNERS,https://obrienwp.com/
105343,"BALDWIN WEALTH PARTNERS, LLC",https://baldwinwealth.com/
105348,"CREATIVE PLANNING, LLC",https://creativeplanning.com/
105433,ALPINE WEALTH ADV.,https://www.alpwm.com/
105439,ACCREDITED INVESTORS INC,https://accredited.com/
105472,FIN. ADVISORY CORP,https://facadvisor.com/
105524,R. STEWART EADS,https://eadsheald.com/
105638,BRIAUD FINANCIAL,https://briaud.com/
105643,FINANCIAL SYNERGIES,https://finsyn.com/
105650,GODSEY & GIBB INC,https://godseyandgibb.com/
105710,SHEETS SMITH WEALTH MANAGEMENT,https://sheetssmith.com/
105736,ZERMATT WEALTH PARTNERS LLC,https://zermattwealth.com/
105846,AMERISERV WEALTH,https://ameriserv.com/
105898,CLAYTON FINANCIAL,https://claytonfinancial.com/
105962,PARAGON CAPITAL MANAGEMENT INC,https://paragoncap.com/
105989,WESCOTT FINANCIAL ADVISORY GROUP LLC,https://wescott.com/
106015,"TRUSTMONT ADVISORY GROUP, INC.",https://trustmontgroup.com/
106043,PHYSICIAN WEALTH ADV.,https://www.pwa.org/
106088,ROBBINS FINANCIAL,https://investrwm.com/
106109,CHOATE INVESTMENT ADV.,https://choateinvestmentadvisors.com/
106131,DONALDSON CAPITAL MANAGEMENT LLC,https://dcmadvisors.com/
106152,"BLOOM ADVISORS, INC.",https://www.bloomadvisors.com/
106164,BEACON FINANCIAL ADV,https://bfaltd.com/
106181,WEALTHSPIRE ADVISORS LLC,https://www.wealthspire.com/
106223,F L PUTNAM INVESTMENT MANAGEMENT CO.,https://www.flputnam.com/
106268,WALKER FINANCIAL,https://www.walkerfinancial.com/
106327,MCS FINANCIAL ADVISORS,https://mcsfa.com/
106408,FAIRFIELD FINANCIAL ADVISORS LTD,https://fairfieldfinancial.com/
106425,MARK J SNYDER FINANCIAL SERVICES INC,https://www.markjsnyder.com/
106550,JNBA FINANCIAL ADVISORS,https://jnba.com/
106577,CFS INVESTMENT ADVISORY,https://www.cfsias.com/
106649,FRAZIER FINANCIAL,https://frazierfinancial.com/
106720,FIDUCIENT ADVISORS,https://fiducientadvisors.com/
106733,"BOK FINANCIAL PRIVATE WEALTH, INC.",https://www.bokfinancial.com/wealth
106743,CLARFELD FINANCIAL,https://www.citizensbank.com/private-banking/teams/clarfeld-group.aspx
106779,"LINSCOMB WEALTH, INC.",https://linscombwealth.com/
106785,STACK FINANCIAL MANAGEMENT INC,https://stackfinancialmanagement.com/
106831,COMMONWEALTH FIN.,https://commonwealthfinancial.com/
106913,"HFR WEALTH MANAGEMENT, LLC",https://hfrwealth.com/
106935,WEATHERLY ASSET MGMT,https://www.weatherlyassetmgt.com/
107027,FIRST TRUST ADVISORS LP,https://www.ftportfolios.com/
107196,PETRA FINANCIAL ADVISORS INC,https://petrafinancial.com/
107202,BLUE BARN WEALTH,https://bluebarnwealth.com/
107203,"VICTORY ASSET MANAGEMENT CO., INC.",https://victoryasset.com/
107212,KOESTEN HIRSCHMANN,https://www.khwealth.com/
107219,SJS INVESTMENT CONSULTING INC,https://sjsinvest.com/
107271,"SAVANT CAPITAL, LLC",https://savantwealth.com/
107289,PROF. FINANCIAL ADV.,https://pfa-inc.com/
107327,CABOT WEALTH MANAGEMENT,https://www.cabotwealth.com/
107347,"ARMSTRONG, FLEMING & MOORE",https://afm-invest.com/
107373,TCI WEALTH ADVISORS,https://tciwealth.com/
107409,"ROGERS WEALTH GROUP, INC.",https://rogerswealth.com/
107434,UNITED ASSET STRATEGIES INC.,https://unitedasset.com/
107485,"BSW WEALTH PARTNERS, INC., A PUBLIC BENEFIT CORPORATION",https://bsw.com/
107495,TRUMBOWER FINANCIAL ADVISORS LLC,https://trumbower.com/
107517,SYM FINANCIAL CORP,https://sym.com/
107548,"SFMG, LLC.",https://sfmg.com/
107611,"LITMAN GREGORY WEALTH MANAGEMENT, LLC",https://www.lgam.com/
107618,"WEALTH DIMENSIONS GROUP, LTD.",https://wealthdimensions.com/
107639,"TANGLEWOOD WEALTH MANAGEMENT, INC.",https://tanglewoodwealth.com/
107653,"PERRYMAN FINANCIAL ADVISORY, INC.",https://perrymanfinancial.com/
107702,"BNB WEALTH MANAGEMENT, LLC",https://www.bnbwealthmanagement.com/
107722,"DURBIN BENNETT PRIVATE WEALTH MANAGEMENT, LLC",https://durbinbennett.com/
107750,CJM WEALTH ADVISERS,https://www.cjmltd.com/
108052,"EARNED WEALTH ADVISORS, LLC",https://earnedwealth.com/
108146,AVISO WEALTH MGMT,https://avisowm.com/
108154,AFFILIATED FINANCIAL,https://affiliatedfinancial.com/
108207,LEGEND FINANCIAL ADVISORS INC,https://legend-financial.com/
108314,FORTERIS WEALTH MGMT,https://forteris.com/
108426,TRUSTWELL FINANCIAL,https://trustwell.com/
108561,ALM FIRST FINANCIAL ADVISORS LLC,https://almfirst.com/
108564,KAHALA FINANCIAL,https://kahalafinancialadvisors.com/
108619,LEGACY WEALTH MGMT,https://legacywealth.com/
108620,DROMS STRAUSS ADV.,https://droms-strauss.com/
108648,LUBITZ LINDA S CFP,https://www.meirawealth.com/
108652,"ENDOWMENT WEALTH MANAGEMENT, INC.",https://endowmentwm.com/
108676,HCR WEALTH ADVISORS,https://hcrwealth.com/
108739,TOWER VIEW WEALTH MANAGEMENT LLC,https://towerviewwealth.com/
108780,BRAGG FINANCIAL ADV.,https://braggfinancial.com/
108797,FINANCIAL INSIGHTS,https://financialinsights.com/
108805,COLDSTREAM CAPITAL,https://coldstream.com/
108824,WEALTHWAY FINANCIAL ADVISORS,https://wealthwayadvisors.com/
108868,NEW ENGLAND PROFESSIONAL PLANNING GROUP INC.,https://www.neppg.com/
108879,VALLEY WEALTH MANAGERS,https://www.valley.com/wealth
108917,MOSS ADAMS WEALTH,https://www.mossadams.com/services/wealth-management/personal
108931,"THE MILWEALTH GROUP, LLC",https://milwealth.com/
108964,KAYDAN WEALTH MGMT,https://kaydanwealth.com/
108967,FULTON BREAKEFIELD,https://www.fbbcapitalpartners.com/
108998,FINANCIAL TRUST ASSET MANAGEMENT CHARTERED,https://financialtrust.com/
109013,SHEELEY & PARTNERS,https://sheeleypartners.com/
109131,COMPASS FINANCIAL,https://www.compassadvisor.com/
109203,NEW ENGLAND CAPITAL,https://www.newenglandcapital.com/
109240,"WILLOW CREEK WEALTH MANAGEMENT, INC.",https://willowcreekwealth.com/
109325,"MCQUEEN FINANCIAL ADVISORS II, INC.",https://mcqueenfinancial.com/
109341,CAPSTONE FINANCIAL ADVISORS INC,https://capstone-advisors.com/
109379,"BRYANT WOODS INVESTMENT ADVISORS, LLC",https://bryantwoods.com/
109413,YUKON WEALTH MGMT,https://www.yukoncm.com/
109419,"MOISAND FITZGERALD TAMAYO, LLC",https://moisandfitzgerald.com/
109446,REDW WEALTH LLC,https://redwwealth.com/
109452,"TRINITY WEALTH ADVISORS, L.L.C.",https://trinitywealthadvisors.com/
109570,DIVERSIFIED PARTNERS,https://www.diversifiedwealthmgt.com/
109638,"REZNY WEALTH MANAGEMENT, INC.",https://reznywealth.com/
109644,"CIBC PRIVATE WEALTH ADVISORS, INC.",https://private-wealth.us.cibc.com/
109677,"STRATEGIC FINANCIAL SERVICES, INC.",https://strategicfinancialservices.com/
109698,"EVENSKY & KATZ, LLC",https://evensky.com/
109721,"IAG WEALTH PARTNERS, LLC",https://iagwealthpartners.com/
109807,"MAI CAPITAL MANAGEMENT, LLC",https://mai.capital/
109867,"BEAM WEALTH ADVISORS, INC.",https://beamwealth.com/
109869,W.E. FAMILY OFFICES,https://wefamilyoffices.com/
109882,"BEESE, FULMER INVESTMENT MANAGEMENT, INC.",https://beesefulmer.com/
109890,"CAHILL FINANCIAL ADVISORS, INC.",https://cahillfa.com/
110031,GRIES FINANCIAL LLC,https://gries.com/
110069,OBERMEYER WOOD,https://obermeyerwood.com/
110145,RETIREMENT INCOME SOLUTIONS,https://risadvisory.com/
110152,"MALOON, POWERS...",https://www.calfinad.com/
110213,"ANGELES INVESTMENT ADVISORS, LLC.",https://angelesadvisors.com/
110257,"COLONIAL TRUST ADVISORS, INC.",https://colonialtrust.com/
110264,"BMO FAMILY OFFICE, LLC",https://bmofamilyoffice.com/
110270,FINANCIAL MGMT PROF.,https://fmprofessionals.com/
110283,WESTMINSTER FINANCIAL ADVISORY CORP,https://www.westminsterfinancial.com/
110302,JMG FINANCIAL GROUP,https://jmgfinancial.com/
110347,KNIGHTSBRIDGE ASSET,https://www.knightsb.com/
110365,DESTINATION WEALTH MANAGEMENT,https://www.destinationwm.com/
110372,"PARADIGM, STRATEGIES IN WEALTH MANAGEMENT, LLC",https://paradigmwealth.net/
110407,"WASHINGTON TRUST ADVISORS, INC.",https://www.washtrust.com/wealth-management
110493,"MOLLER WEALTH PARTNERS, INC.",https://mollerwealthpartners.com/
110532,SILVEROAK WEALTH MANAGEMENT LLC,https://silveroakwealth.com/
110601,MEKETA INVESTMENT GROUP INC,https://meketa.com/
110641,"LEVEL FINANCIAL ADVISORS, INC.",https://levelfa.com/
110729,COOKSON PEIRCE & CO,https://cooksonpeirce.com/
110742,CHEVY CHASE TRUST,https://chevychasetrust.com/
