crd,firm_name,website,status,logo_source,error
265,"EQUITY SERVICES, INC.",https://equity-services.com/,no_logo_found,,
713,"RICHARDS, MERRILL & PETERSON, INC.",https://rmwealthmgmt.com/,skipped_exists,,
1329,"SMITH, BROWN & GROOVER, INC.",https://smithbrownandgroover.com/,skipped_exists,,
1489,"RELEVANT WEALTH ADVISORS, LLC",https://relevantwealth.com/,skipped_exists,,
2748,"MEANS INVESTMENT CO., INC.",https://meanswealth.com/,skipped_exists,,
2882,"VOYA FINANCIAL ADVISORS, INC.",https://advisors.voya.com/,skipped_exists,,
3618,"TRUBEE WEALTH ADVISORS, INC.",https://trubee.com/wealth-management/,no_logo_found,,
8032,"COMMONWEALTH EQUITY SERVICES, LLC",https://commonwealth.com/,skipped_exists,,
15898,"FSB PREMIER WEALTH MANAGEMENT, INC.",https://fsbfs.com/,skipped_exists,,
16164,"TRANSAMERICA FINANCIAL ADVISORS, LLC",https://tfaconnect.com/,skipped_exists,,
16986,HUNTINGTON INVESTMENT,https://www.huntington.com/private-bank,no_logo_found,,
17530,"BOK FINANCIAL SECURITIES, INC.",https://bokfinancial.com/,skipped_exists,,
21572,MARQUETTE ASSOCIATES,https://marquetteassociates.com/,skipped_exists,,
23131,"OSAIC WEALTH, INC.",https://osaic.com/,skipped_exists,,
25536,AMERICAN WEALTH MGMT,https://americanwealthmanagement.com/,download_failed,https://americanwealthmanagement.com/favicon.ico,http_200
38357,CLIFTONLARSONALLEN,https://www.claconnect.com/en/services/wealth-advisory-overview,skipped_exists,,
39326,"BNA WEALTH, INC.",https://www.bnacpa.com/,skipped_exists,,
42057,"ARVEST INVESTMENTS, INC.",https://www.arvest.com/wealth,no_logo_found,,
104621,PHILIP O. JOHNSON,https://www.meetjohnsonfinancial.com/,skipped_exists,,
104623,AVITY INVESTMENT MANAGEMENT INC.,https://avityim.com/,skipped_exists,,
104643,"CAPITAL ADVISORS, INC.",https://capitaladv.com/,success,https://capitaladv.com/wp-content/themes/capitaladvisors/assets/images/logo/logo.png,
104692,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC.",https://fergusonwellman.com/,success,https://fergusonwellman.com/assets/fw_logo.png,
104711,"TOBIAS FINANCIAL ADVISORS, INC.",https://tobiasfinancial.com/,success,https://tobiasfinancial.com/wp-content/uploads/2026/01/cropped-cropped-tobias-logo-1.png,
104804,SCHIAVI & COMPANY LLC,https://www.claritiwealth.com/,success,https://www.claritiwealth.com/favicon.ico,
104920,CONDOR CAPITAL MANAGEMENT,https://condorcapital.com/,success,https://www.condorcapital.com/wp-content/uploads/2024/11/cropped-fav-32x32.png,
104926,MODERN PORTFOLIO MGMT,https://modernportfolio.com/,success,https://www.modernportfolio.com/wp-content/uploads/2024/09/cropped-White-Background-2-32x32.png,
104942,CAMBRIDGE ASSOCIATES,https://cambridgeassociates.com/,svg_rasterized_success,https://cambridgeassociates.com/wp-content/themes/cambridge/dist/img/logo-stacked.svg,
104952,TOTH FINANCIAL,https://tothfinancial.com/,svg_rasterized_success,https://tothfinancial.com/wp-content/themes/tothfinancial/dist/images/toth-financial-logo_a52f2997.svg,
104961,"LEFAVI WEALTH MANAGEMENT, INC.",https://lefavi.com/,success,https://lefavi.com/wp-content/uploads/2024/06/white-logo-v2-1.jpeg,
105012,WINGATE WEALTH ADV.,https://wingatewealthadvisors.com/,success,https://www.wingatewealthadvisors.com/wp-content/uploads/Bitmap-fav.jpg,
105022,"INTRINSIC WEALTH COUNSEL, INC.",https://intrinsicwealthcounsel.com/,success,https://intrinsicwealthcounsel.com/wp-content/uploads/2019/12/iwc-brandmark-120x120.png,
105031,FIRST FINANCIAL ADVISORY,https://firstfinancial.com/,success,https://firstfinancial.com/wp-content/uploads/2022/10/cropped-logo-32x32.jpg,
105039,HARTFORD FIN. MGMT,https://www.hfmonline.com/,svg_rasterized_success,https://hfmonline.com/wp-content/uploads/2025/11/HFM_Horizontal_Logo_White.svg,
105062,"TFC FINANCIAL MANAGEMENT, INC.",https://www.tfcfinancial.com/,svg_rasterized_success,https://www.tfcfinancial.com/images/TFC_Logo_Lockup.svg,
105211,"BURT ASSOCIATES, INCORPORATED",https://burtwealth.com/,success,https://images.squarespace-cdn.com/content/v1/65a00de222092d67b72331f0/eb165185-3bd1-4d96-a8f2-3935ae25d5f5/Logo.PNG?format=1500w,
105336,O'BRIEN WEALTH PARTNERS,https://obrienwp.com/,success,https://obrienwp.com/assets/obrien-logo.png,
105343,"BALDWIN WEALTH PARTNERS, LLC",https://baldwinwealth.com/,no_logo_found,,
